w1,w2,w3,w4,w5,w6,CL,CD,CM
-0.093123,-0.547600,-0.258334,0.091363,0.571727,0.108426,0.214600,0.01166000,0.028200
-0.181948,-0.048591,-0.250019,0.270176,0.123088,0.434877,0.627700,0.01349000,-0.058600
-0.196393,-0.073089,-0.320767,0.577976,0.233544,0.185397,0.687300,0.01650000,0.019700
-0.195577,-0.568122,-0.049967,0.167917,0.536834,0.101820,0.363600,0.01197000,-0.021100
-0.474262,-0.205371,-0.361847,0.278629,0.228764,0.582203,0.160900,0.01332000,-0.019600
-0.300456,-0.505266,-0.202059,0.167469,0.040208,0.430457,-0.103800,0.01237000,0.045300
-0.219401,-0.461000,-0.467745,0.579087,0.594823,0.364449,0.102200,0.01737000,0.111000
-0.415884,-0.370841,-0.468791,0.267813,0.471345,0.088527,0.052900,0.01130000,0.059000
-0.078506,-0.452840,-0.181517,0.068813,0.309354,0.293912,0.144000,0.01182000,0.022000
-0.017616,-0.505031,-0.219816,0.165999,0.527613,0.210320,0.387900,0.01121000,0.005100
-0.459846,-0.360989,-0.132753,0.276504,0.570730,0.284037,0.484700,0.01323000,-0.078100
-0.206210,-0.127595,-0.444036,0.574489,0.277651,0.180027,0.668800,0.01972000,0.031700
-0.438068,-0.320856,-0.314784,0.168024,0.519798,0.236970,0.285400,0.01173000,-0.035300
-0.445612,-0.018017,-0.165101,0.589564,0.390449,0.455615,0.642800,0.01764000,-0.055700
-0.053391,-0.082036,-0.323813,0.570853,0.527037,0.399536,0.940600,0.01937000,-0.038000
-0.136810,-0.255963,-0.176556,0.369190,0.442379,0.390889,0.601800,0.01074000,-0.031900
-0.121403,-0.150797,-0.449729,0.376347,0.124756,0.489574,0.468900,0.01895000,0.017000
-0.596047,-0.212261,-0.477889,0.563194,0.245369,0.345565,0.221500,0.01764000,0.028500
-0.528985,-0.416550,-0.261036,0.261358,0.455055,0.345812,0.268000,0.01279000,-0.046100
-0.545873,-0.369566,-0.014867,0.156906,0.599299,0.162912,0.443400,0.01339000,-0.104800
-0.560397,-0.592866,-0.334647,0.551392,0.333083,0.449239,-0.099900,0.01793000,0.064900
-0.055575,-0.324140,-0.486724,0.469929,0.403543,0.154536,0.348000,0.01430000,0.097800
-0.565747,-0.197731,-0.348402,0.276492,0.425515,0.431985,0.351000,0.01307000,-0.064200
-0.408234,-0.258169,-0.490961,0.353433,0.031538,0.099745,-0.139900,0.01128000,0.120000
-0.392635,-0.129327,-0.208309,0.235761,0.041867,0.005685,0.030600,0.01135000,0.054000
-0.105775,-0.350057,-0.270217,0.254151,0.173939,0.160645,0.144300,0.00953000,0.073500
-0.041495,-0.015226,-0.069646,0.060449,0.223191,0.384381,0.590400,0.01264000,-0.083300
-0.213372,-0.216502,-0.530669,0.104592,0.265841,0.226437,0.349500,0.01524000,0.003600
-0.465031,-0.550749,-0.491549,0.467917,0.172690,0.503140,-0.254200,0.01597000,0.113000
-0.464669,-0.080525,-0.590774,0.108350,0.025772,0.296715,0.070500,0.01542000,0.015400
-0.451142,-0.480792,-0.435482,0.581351,0.118438,0.146961,-0.061300,0.01556000,0.124800
-0.308140,-0.569090,-0.041397,0.173490,0.087449,0.467380,0.050400,0.01316000,-0.005300
-0.049707,-0.303287,-0.280566,0.072226,0.553779,0.045615,0.286200,0.01008000,0.029100
-0.450240,-0.091126,-0.394611,0.553969,0.136247,0.468315,0.303100,0.01656000,0.025000
-0.016378,-0.569872,-0.438772,0.186224,0.406502,0.036479,-0.019400,0.01129000,0.128400
-0.079521,-0.447268,-0.155420,0.335395,0.098617,0.342451,0.264700,0.01177000,0.040900
-0.445241,-0.550100,-0.092516,0.398091,0.566342,0.024197,0.291200,0.01481000,0.001800
-0.562341,-0.321002,-0.094735,0.387294,0.477648,0.058699,0.353900,0.01423000,-0.031300
-0.231620,-0.171136,-0.311381,0.248965,0.517955,0.469455,0.618000,0.01276000,-0.069300
-0.231624,-0.034645,-0.205431,0.272375,0.213020,0.047473,0.407100,0.00935000,0.011500
-0.143107,-0.036260,-0.527940,0.290804,0.430925,0.019815,0.607100,0.01879000,0.017800
-0.058064,-0.394364,-0.188127,0.449531,0.104576,0.028939,0.186200,0.01186000,0.112300
-0.573374,-0.587868,-0.003345,0.370912,0.223543,0.004415,-0.028500,0.01473000,0.032400
-0.057853,-0.351319,-0.398547,0.488211,0.223649,0.186688,0.206300,0.01289000,0.121300
-0.156985,-0.142352,-0.595629,0.191111,0.074576,0.034484,0.171200,0.01997000,0.092300
-0.168310,-0.087824,-0.099332,0.216820,0.310738,0.501436,0.892200,0.00955000,-0.145000
-0.470211,-0.394081,-0.019319,0.451699,0.332923,0.332093,0.448800,0.01428000,-0.050100
-0.083195,-0.074324,-0.459035,0.576078,0.105887,0.353651,0.786500,0.02114000,0.011900
-0.342243,-0.182651,-0.002643,0.552664,0.399749,0.094100,0.718700,0.01485000,-0.037600
-0.306995,-0.549080,-0.307649,0.366624,0.122518,0.368672,-0.070100,0.01313000,0.085500
-0.120267,-0.447914,-0.217815,0.594427,0.561160,0.025671,0.469600,0.01619000,0.065800
